Sales,CompPrice,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US
11.54,134.0,44.0,4.0,219.0,126.0,Good,44.0,15.0,Yes,Yes
4.1,130.0,28.0,6.0,410.0,133.0,Bad,72.0,16.0,Yes,Yes
3.02,98.0,21.0,11.0,326.0,90.0,Bad,76.0,11.0,No,Yes
9.35,98.0,117.0,0.0,76.0,68.0,Medium,63.0,10.0,Yes,No
4.38,126.0,98.0,0.0,173.0,108.0,Bad,55.0,16.0,Yes,No
9.4,135.0,40.0,17.0,497.0,96.0,Medium,54.0,17.0,No,Yes
5.68,113.0,22.0,1.0,317.0,132.0,Medium,28.0,12.0,Yes,No
7.4,117.0,100.0,4.0,466.0,97.0,Medium,55.0,14.0,Yes,Yes
6.68,107.0,25.0,0.0,412.0,82.0,Bad,36.0,14.0,Yes,No
6.38,135.0,91.0,5.0,207.0,128.0,Medium,66.0,18.0,Yes,Yes
3.47,108.0,38.0,0.0,251.0,81.0,Bad,72.0,14.0,No,No
11.19,98.0,104.0,0.0,404.0,72.0,Medium,27.0,18.0,No,No
1.82,139.0,45.0,0.0,146.0,133.0,Bad,77.0,17.0,Yes,Yes
6.54,132.0,110.0,0.0,108.0,124.0,Medium,76.0,10.0,Yes,No
11.48,104.0,41.0,15.0,492.0,77.0,Good,73.0,18.0,Yes,Yes
5.94,100.0,79.0,7.0,284.0,95.0,Bad,50.0,12.0,Yes,Yes
5.83,134.0,82.0,7.0,473.0,112.0,Bad,51.0,12.0,No,Yes
10.49,122.0,84.0,8.0,176.0,114.0,Good,57.0,10.0,No,Yes
6.88,95.0,44.0,4.0,208.0,72.0,Bad,44.0,17.0,Yes,Yes
4.96,133.0,100.0,3.0,350.0,126.0,Bad,55.0,13.0,Yes,Yes
6.67,116.0,99.0,5.0,298.0,125.0,Good,62.0,12.0,Yes,Yes
12.01,136.0,63.0,0.0,160.0,94.0,Medium,38.0,12.0,Yes,No
9.16,137.0,105.0,10.0,435.0,156.0,Good,72.0,14.0,Yes,Yes
15.63,122.0,36.0,5.0,369.0,72.0,Good,35.0,10.0,Yes,Yes
5.08,139.2,46.0,6.0,497.0,138.0,Medium,42.0,13.0,Yes,No
12.61,118.0,90.0,10.0,54.0,104.0,Good,31.0,11.0,No,Yes
9.48,147.0,42.0,10.0,407.0,132.0,Good,73.0,16.0,No,Yes
6.52,128.0,42.0,0.0,436.0,118.0,Medium,80.0,11.0,Yes,No
11.27,100.0,54.0,9.0,433.0,89.0,Good,45.0,12.0,Yes,Yes
5.25,131.0,55.0,0.0,26.0,110.0,Bad,79.0,12.0,Yes,Yes
5.56,144.0,92.0,0.0,349.0,146.0,Medium,62.0,12.0,No,No
6.68,107.0,25.0,0.0,412.0,82.0,Bad,36.0,14.0,Yes,No
8.418,134.0,29.0,12.0,239.0,109.0,Good,62.0,18.0,No,Yes
4.81,121.0,68.0,0.0,279.0,149.0,Good,79.0,12.0,Yes,No
7.38,98.0,120.0,0.0,268.0,93.0,Medium,72.0,10.0,No,No
7.91,153.0,40.0,3.0,112.0,129.0,Bad,39.0,18.0,Yes,Yes
11.54,134.0,44.0,4.0,219.0,126.0,Good,44.0,15.0,Yes,Yes
10.08,116.0,72.0,10.0,456.0,130.0,Good,41.0,14.0,No,Yes
12.53,142.0,90.0,1.0,189.0,112.0,Good,39.0,10.0,No,Yes
8.55,88.0,111.0,23.0,480.0,92.0,Bad,36.0,16.0,No,Yes
10.31,159.0,80.0,0.0,362.0,121.0,Medium,26.0,18.0,Yes,No
10.14,145.0,119.0,16.0,294.0,113.0,Bad,42.0,12.0,Yes,Yes
5.27,98.0,118.0,0.0,19.0,107.0,Medium,64.0,17.0,Yes,No
7.3,129.0,89.0,0.0,425.0,117.0,Medium,45.0,10.0,Yes,No
2.93,143.0,21.0,5.0,81.0,160.0,Medium,67.0,12.0,No,Yes
7.71,123.0,81.0,8.0,198.0,81.0,Bad,80.0,15.0,Yes,Yes
6.95,128.0,29.0,5.0,324.0,159.0,Good,31.0,15.0,Yes,Yes
9.58,108.0,104.0,23.0,353.0,129.0,Good,37.0,17.0,Yes,Yes
7.52,116.0,72.0,0.0,237.0,128.0,Good,70.0,13.0,Yes,No
11.82,113.0,66.0,16.0,322.0,74.0,Good,76.0,15.0,Yes,Yes
7.72,133.0,33.0,10.0,333.0,129.0,Good,71.0,14.0,Yes,Yes
15.63,122.0,36.0,5.0,369.0,72.0,Good,35.0,10.0,Yes,Yes
13.91,110.0,110.0,0.0,408.0,68.0,Good,46.0,17.0,No,Yes
3.15,117.0,66.0,1.0,65.0,111.0,Bad,55.0,11.0,Yes,Yes
3.07,118.0,83.0,13.0,276.0,104.0,Bad,75.0,10.0,Yes,Yes
5.87,131.0,73.0,13.0,455.0,132.0,Medium,62.0,17.0,Yes,Yes
16.27,141.0,60.0,19.0,319.0,92.0,Good,44.0,11.0,Yes,Yes
5.12,123.0,36.0,10.0,467.0,100.0,Bad,74.0,11.0,No,Yes
10.51,140.0,54.0,9.0,402.0,119.0,Good,41.0,16.0,No,Yes
8.89,122.0,76.0,0.0,270.0,100.0,Good,60.0,18.0,No,No
5.3,133.0,31.0,1.0,80.0,145.0,Medium,42.0,18.0,Yes,Yes
12.49,122.0,77.0,24.0,382.0,127.0,Good,36.0,16.0,No,Yes
6.15,146.0,68.0,12.0,328.0,132.0,Bad,51.0,14.0,Yes,Yes
6.1,153.0,63.0,0.0,49.0,124.0,Bad,56.0,16.0,Yes,No
8.67,125.0,62.0,14.0,477.0,112.0,Medium,80.0,13.0,Yes,Yes
10.0,114.0,43.0,0.0,199.0,88.0,Good,57.0,10.0,No,Yes
7.82,124.0,25.0,13.0,87.0,110.0,Medium,57.0,10.0,Yes,Yes
2.23,111.0,25.0,0.0,52.0,121.0,Bad,43.0,18.0,No,No
8.41,94.0,84.0,13.0,497.0,77.0,Medium,51.0,12.0,Yes,Yes
6.95,128.0,29.0,5.0,324.0,159.0,Good,31.0,15.0,Yes,Yes
7.41,162.0,26.0,12.0,368.0,159.0,Medium,40.0,18.0,Yes,Yes
7.64,128.0,78.0,0.0,341.0,128.0,Good,45.0,13.0,No,No
10.49,122.0,84.0,8.0,176.0,114.0,Good,57.0,10.0,No,Yes
8.89,122.0,76.0,0.0,270.0,100.0,Good,60.0,18.0,No,No
4.15,141.0,64.0,5.6,340.0,128.0,Bad,38.0,13.0,Yes,No
11.85,136.0,81.0,15.0,425.0,120.0,Good,67.0,10.0,Yes,Yes
4.97,162.0,67.0,0.0,27.0,160.0,Medium,77.0,17.0,Yes,Yes
5.87,136.0,60.0,7.0,303.0,147.0,Medium,41.0,10.0,Yes,Yes
7.64,128.0,78.0,0.0,341.0,128.0,Good,45.0,13.0,No,No
5.31,130.0,35.0,10.0,402.0,129.0,Bad,39.0,17.0,Yes,Yes
3.15,117.0,66.0,1.0,65.0,111.0,Bad,55.0,11.0,Yes,Yes
6.88,96.0,39.0,0.0,161.0,112.0,Good,27.0,14.0,No,No
8.43,138.0,80.0,0.0,108.0,126.0,Good,70.0,13.0,No,Yes
4.69,133.0,30.0,0.0,152.0,122.0,Medium,53.0,17.0,Yes,No
13.28,139.0,70.0,7.0,71.0,96.0,Good,61.0,10.0,Yes,Yes
7.67,129.0,117.0,8.0,400.0,101.0,Bad,36.0,10.0,Yes,Yes
13.44,133.0,103.0,14.0,288.0,122.0,Good,61.0,17.0,Yes,Yes
5.28,108.0,77.0,13.0,388.0,110.0,Bad,74.0,14.0,Yes,Yes
11.54,134.0,44.0,4.0,219.0,126.0,Good,44.0,15.0,Yes,Yes
7.23,112.0,98.0,18.0,481.0,128.0,Medium,45.0,11.0,Yes,Yes
6.254,107.0,117.0,11.0,148.0,118.0,Good,52.0,18.0,Yes,Yes
3.47,108.0,38.0,0.0,251.0,81.0,Bad,72.0,14.0,No,No
4.9,122.0,26.0,0.0,197.0,128.0,Medium,55.0,13.0,No,No
3.47,108.0,38.0,0.0,251.0,81.0,Bad,72.0,14.0,No,No
8.55,134.0,107.0,0.0,104.0,108.0,Medium,60.0,12.0,Yes,No
4.15,141.0,64.0,5.6,340.0,128.0,Bad,38.0,13.0,Yes,No
11.96,117.0,94.0,4.0,503.0,94.0,Good,50.0,13.0,Yes,Yes
4.62,121.0,96.0,0.0,472.0,138.0,Medium,51.0,12.0,Yes,No
3.9,124.0,65.0,21.0,496.0,151.0,Bad,77.0,13.0,Yes,Yes
10.26,111.0,75.0,1.0,377.0,108.0,Good,25.0,12.0,Yes,No
0.91,93.0,91.0,0.0,22.0,117.0,Bad,75.0,11.0,Yes,No
9.32,119.0,60.0,0.0,372.0,70.0,Bad,30.0,18.0,No,No
6.39,131.0,21.0,8.0,220.0,171.0,Good,29.0,14.0,Yes,Yes
7.74,150.0,96.0,0.0,80.0,154.0,Good,61.0,11.0,Yes,No
7.74,150.0,96.0,0.0,80.0,154.0,Good,61.0,11.0,Yes,No
4.9,134.0,103.0,13.0,25.0,144.0,Medium,76.0,17.0,No,Yes
6.41,142.0,30.0,0.0,472.0,136.0,Good,80.0,15.0,No,No
0.37,147.0,58.0,7.0,100.0,191.0,Bad,27.0,15.0,Yes,Yes
5.47,108.0,75.0,9.0,61.0,111.0,Medium,67.0,12.0,Yes,Yes
16.27,141.0,60.0,19.0,319.0,92.0,Good,44.0,11.0,Yes,Yes
11.91,133.0,82.0,0.0,54.0,84.0,Medium,50.0,17.0,Yes,No
7.58,118.0,32.0,0.0,284.0,110.0,Good,63.0,13.0,Yes,No
6.2,150.0,68.0,5.0,125.0,136.0,Medium,64.0,13.0,No,Yes
6.53,123.0,57.0,0.0,66.0,105.0,Medium,39.0,11.0,Yes,No
11.48,104.0,41.0,15.0,492.0,77.0,Good,73.0,18.0,Yes,Yes
11.85,136.0,81.0,15.0,425.0,120.0,Good,67.0,10.0,Yes,Yes
7.45,161.0,82.0,5.0,287.0,129.0,Bad,33.0,16.0,Yes,Yes
13.55,125.0,94.0,0.0,447.0,89.0,Good,30.0,12.0,Yes,No
9.71,134.0,37.0,0.0,27.0,120.0,Good,49.0,16.0,Yes,Yes
10.04,116.0,106.0,8.0,244.0,86.0,Medium,58.0,12.0,Yes,Yes
5.52,115.0,45.0,0.0,432.0,116.0,Medium,25.0,15.0,Yes,No
12.04,145.0,69.0,19.0,501.0,105.0,Medium,45.0,11.0,Yes,Yes
9.48,147.0,42.0,10.0,407.0,132.0,Good,73.0,16.0,No,Yes
6.81,132.0,61.0,0.0,263.0,125.0,Medium,41.0,12.0,No,No
11.19,122.0,69.0,7.0,303.0,105.0,Good,45.0,16.0,No,Yes
6.92,109.0,64.0,13.0,39.0,119.0,Medium,61.0,17.0,Yes,Yes
16.27,141.0,60.0,19.0,319.0,92.0,Good,44.0,11.0,Yes,Yes
6.95,128.0,29.0,5.0,324.0,159.0,Good,31.0,15.0,Yes,Yes
8.07,116.0,37.0,0.0,426.0,90.0,Medium,76.0,15.0,Yes,No
5.99,117.0,42.0,10.0,371.0,121.0,Bad,26.0,14.0,Yes,Yes
11.67,125.0,89.0,10.0,380.0,87.0,Bad,28.0,10.0,Yes,Yes
7.78,144.0,25.0,3.0,70.0,116.0,Medium,77.0,18.0,Yes,Yes
1.42,99.0,32.0,18.0,341.0,108.0,Bad,80.0,16.0,Yes,Yes
7.22,114.0,113.0,2.0,129.0,151.0,Good,40.0,15.0,No,Yes
3.91,116.0,52.0,0.0,349.0,98.0,Bad,69.0,18.0,Yes,No
5.28,108.0,77.0,13.0,388.0,110.0,Bad,74.0,14.0,Yes,Yes
8.77,114.0,38.0,13.0,317.0,128.0,Good,50.0,16.0,Yes,Yes
6.97,106.0,46.0,11.0,414.0,96.0,Bad,79.0,17.0,No,No
6.67,156.0,42.0,13.0,170.0,173.0,Good,74.0,14.0,Yes,Yes
5.87,121.0,31.0,0.0,292.0,109.0,Medium,79.0,10.0,Yes,No
9.62,151.0,28.0,8.0,499.0,135.0,Medium,48.0,10.0,Yes,Yes
6.01,131.0,29.0,11.0,335.0,127.0,Bad,33.0,12.0,Yes,Yes
7.96,157.0,53.0,0.0,403.0,124.0,Bad,58.0,16.0,Yes,No
4.17,123.0,96.0,10.0,71.0,118.0,Bad,69.0,11.0,Yes,Yes
10.26,111.0,75.0,1.0,377.0,108.0,Good,25.0,12.0,Yes,No
3.45,110.0,45.0,9.0,276.0,125.0,Medium,62.0,14.0,Yes,Yes
11.96,117.0,94.0,4.0,503.0,94.0,Good,50.0,13.0,Yes,Yes
7.58,118.0,32.0,0.0,284.0,110.0,Good,63.0,13.0,Yes,No
12.49,122.0,77.0,24.0,382.0,127.0,Good,36.0,16.0,No,Yes
9.09,132.0,68.0,0.0,264.0,123.0,Good,34.0,11.0,No,No
6.11,133.0,88.0,3.0,105.0,119.0,Medium,79.0,12.0,Yes,Yes
5.07,123.0,91.0,0.0,334.0,96.0,Bad,78.0,17.0,Yes,Yes
9.16,140.0,50.0,10.0,300.0,139.0,Good,60.0,15.0,Yes,Yes
7.8,119.0,33.0,0.0,245.0,122.0,Good,56.0,14.0,Yes,No
4.15,141.0,64.0,5.6,340.0,128.0,Bad,38.0,13.0,Yes,No
5.99,117.0,42.0,10.0,371.0,121.0,Bad,26.0,14.0,Yes,Yes
8.68,120.0,51.0,0.0,93.0,86.0,Medium,46.0,17.0,No,No
8.87,131.0,113.0,0.0,181.0,120.0,Good,63.0,14.0,Yes,No
12.57,132.0,102.0,20.0,459.0,107.0,Good,49.0,11.0,Yes,Yes
7.02,130.0,100.0,0.0,306.0,146.0,Good,42.0,11.0,Yes,No
7.49,146.0,34.0,0.0,220.0,157.0,Good,51.0,16.0,Yes,No
7.68,126.0,41.0,22.0,403.0,119.0,Bad,42.0,12.0,Yes,Yes
5.42,103.0,93.0,15.0,188.0,103.0,Bad,74.0,16.0,Yes,Yes
7.43,121.0,83.0,0.0,79.0,91.0,Medium,68.0,11.0,Yes,No
11.96,117.0,94.0,4.0,503.0,94.0,Good,50.0,13.0,Yes,Yes
8.54,139.0,35.0,0.0,95.0,129.0,Medium,42.0,13.0,Yes,No
9.16,140.0,50.0,10.0,300.0,139.0,Good,60.0,15.0,Yes,Yes
8.03,115.0,29.0,26.0,394.0,132.0,Medium,33.0,13.0,Yes,Yes
10.61,157.0,93.0,0.0,51.0,149.0,Good,32.0,17.0,Yes,No
7.62,132.0,98.0,2.0,265.0,97.0,Bad,62.0,12.0,Yes,Yes
8.77,118.0,86.0,7.0,265.0,114.0,Good,52.0,15.0,No,Yes
4.83,115.0,115.0,3.0,48.0,107.0,Medium,73.0,18.0,Yes,Yes
9.46,89.0,81.0,15.0,237.0,99.0,Good,74.0,12.0,Yes,Yes
11.18,131.0,111.0,13.0,33.0,80.0,Bad,68.0,18.0,Yes,Yes
3.89,123.0,105.0,0.0,149.0,118.0,Bad,62.0,16.0,Yes,Yes
7.56,108.0,26.0,0.0,408.0,93.0,Medium,56.0,14.0,No,No
5.3,113.0,22.0,0.0,57.0,97.0,Medium,65.0,16.0,No,No
7.72,133.0,33.0,10.0,333.0,129.0,Good,71.0,14.0,Yes,Yes
6.43,124.0,44.0,0.0,125.0,107.0,Medium,80.0,11.0,Yes,No
7.5,140.0,29.0,0.0,105.0,91.0,Bad,43.0,16.0,Yes,No
10.5,122.0,21.0,16.0,488.0,131.0,Good,30.0,14.0,Yes,Yes
6.2,128.0,93.0,0.0,89.0,118.0,Medium,34.0,18.0,Yes,No
7.71,98.0,72.0,0.0,59.0,69.0,Medium,65.0,16.0,Yes,No
7.49,146.0,34.0,0.0,220.0,157.0,Good,51.0,16.0,Yes,No
8.78,130.0,30.0,0.0,391.0,100.0,Medium,26.0,18.0,Yes,No
9.03,104.0,102.0,13.0,123.0,110.0,Good,35.0,16.0,Yes,Yes
11.93,123.0,98.0,12.0,408.0,134.0,Good,29.0,10.0,Yes,Yes
11.96,117.0,94.0,4.0,503.0,94.0,Good,50.0,13.0,Yes,Yes
5.9,138.0,92.0,0.0,13.0,120.0,Bad,61.0,12.0,Yes,No
7.77,116.0,26.0,6.0,434.0,115.0,Medium,25.0,17.0,Yes,Yes
2.34,116.0,83.0,15.0,170.0,144.0,Bad,71.0,11.0,Yes,Yes
5.33,115.0,22.0,0.0,491.0,103.0,Medium,64.0,11.0,No,No
10.98,148.0,63.0,0.0,312.0,130.0,Good,63.0,15.0,Yes,No
4.1,134.0,82.0,0.0,464.0,141.0,Medium,48.0,13.0,No,No
11.62,151.0,83.0,4.0,325.0,139.0,Good,28.0,17.0,Yes,Yes
4.42,121.0,90.0,0.0,150.0,108.0,Bad,75.0,16.0,Yes,No
3.02,98.0,21.0,11.0,326.0,90.0,Bad,76.0,11.0,No,Yes
11.18,131.0,111.0,13.0,33.0,80.0,Bad,68.0,18.0,Yes,Yes
9.32,134.0,27.0,18.0,467.0,96.0,Medium,49.0,14.0,No,Yes
4.94,137.0,112.0,15.0,434.0,149.0,Bad,66.0,13.0,Yes,Yes
6.42,122.0,88.0,5.0,335.0,126.0,Medium,64.0,14.0,Yes,Yes
8.09,132.0,69.0,0.0,123.0,122.0,Medium,27.0,11.0,No,No
9.14,134.0,67.0,0.0,286.0,90.0,Bad,41.0,13.0,Yes,No
9.58,108.0,104.0,23.0,353.0,129.0,Good,37.0,17.0,Yes,Yes
4.15,141.0,64.0,5.6,340.0,128.0,Bad,38.0,13.0,Yes,No
10.64,102.0,87.0,10.0,346.0,70.0,Medium,64.0,15.0,Yes,Yes
12.53,142.0,90.0,1.0,189.0,112.0,Good,39.0,10.0,No,Yes
9.49,107.0,111.0,14.0,400.0,103.0,Medium,41.0,11.0,No,Yes
12.57,132.0,102.0,20.0,459.0,107.0,Good,49.0,11.0,Yes,Yes
5.17,138.0,35.0,6.0,60.0,143.0,Bad,28.0,18.0,Yes,No
9.34,89.0,78.0,0.0,181.0,49.0,Medium,43.0,15.0,No,No
5.83,134.0,82.0,7.0,473.0,112.0,Bad,51.0,12.0,No,Yes
10.71,109.0,22.0,10.0,348.0,79.0,Good,74.0,14.0,No,Yes
3.24,130.0,60.0,0.0,144.0,138.0,Bad,38.0,10.0,No,No
7.74,150.0,96.0,0.0,80.0,154.0,Good,61.0,11.0,Yes,No
5.81,125.0,111.0,0.0,404.0,107.0,Bad,54.0,15.0,Yes,No
6.1,153.0,63.0,0.0,49.0,124.0,Bad,56.0,16.0,Yes,No
5.17,131.0,75.0,0.0,10.0,120.0,Bad,31.0,18.0,No,No
13.36,103.0,73.0,3.0,276.0,72.0,Medium,34.0,15.0,Yes,Yes
10.1,135.0,63.0,15.0,213.0,134.0,Medium,32.0,10.0,Yes,Yes
7.81,137.0,102.0,13.0,422.0,118.0,Medium,71.0,10.0,No,Yes
5.42,103.0,93.0,15.0,188.0,103.0,Bad,74.0,16.0,Yes,Yes
